Series ID,Year,Period,Label,Value
CUURS49BSA0,2000,M02,2000 Feb,176.5
CUURS49BSA0,2000,M04,2000 Apr,178.7
CUURS49BSA0,2000,M06,2000 Jun,179.1
CUURS49BSA0,2000,M08,2000 Aug,181.7
CUURS49BSA0,2000,M10,2000 Oct,183.4
CUURS49BSA0,2000,M12,2000 Dec,184.1
CUURS49BSA0,2001,M02,2001 Feb,187.9
CUURS49BSA0,2001,M04,2001 Apr,189.1
CUURS49BSA0,2001,M06,2001 Jun,190.9
CUURS49BSA0,2001,M08,2001 Aug,191.0
CUURS49BSA0,2001,M10,2001 Oct,191.7
CUURS49BSA0,2001,M12,2001 Dec,190.6
CUURS49BSA0,2002,M02,2002 Feb,191.3
CUURS49BSA0,2002,M04,2002 Apr,193.0
CUURS49BSA0,2002,M06,2002 Jun,193.2
CUURS49BSA0,2002,M08,2002 Aug,193.5
CUURS49BSA0,2002,M10,2002 Oct,194.3
CUURS49BSA0,2002,M12,2002 Dec,193.2
CUURS49BSA0,2003,M02,2003 Feb,197.7
CUURS49BSA0,2003,M04,2003 Apr,197.3
CUURS49BSA0,2003,M06,2003 Jun,196.3
CUURS49BSA0,2003,M08,2003 Aug,196.3
CUURS49BSA0,2003,M10,2003 Oct,196.3
CUURS49BSA0,2003,M12,2003 Dec,195.3
CUURS49BSA0,2004,M02,2004 Feb,198.1
CUURS49BSA0,2004,M04,2004 Apr,198.3
CUURS49BSA0,2004,M06,2004 Jun,199.0
CUURS49BSA0,2004,M08,2004 Aug,198.7
CUURS49BSA0,2004,M10,2004 Oct,200.3
CUURS49BSA0,2004,M12,2004 Dec,199.5
CUURS49BSA0,2005,M02,2005 Feb,201.2
CUURS49BSA0,2005,M04,2005 Apr,202.5
CUURS49BSA0,2005,M06,2005 Jun,201.2
CUURS49BSA0,2005,M08,2005 Aug,203.0
CUURS49BSA0,2005,M10,2005 Oct,205.9
CUURS49BSA0,2005,M12,2005 Dec,203.4
CUURS49BSA0,2006,M02,2006 Feb,207.1
CUURS49BSA0,2006,M04,2006 Apr,208.9
CUURS49BSA0,2006,M06,2006 Jun,209.1
CUURS49BSA0,2006,M08,2006 Aug,210.7
CUURS49BSA0,2006,M10,2006 Oct,211.0
CUURS49BSA0,2006,M12,2006 Dec,210.4
CUURS49BSA0,2007,M02,2007 Feb,213.688
CUURS49BSA0,2007,M04,2007 Apr,215.842
